Sr. No.,Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
411.0,RHIM,RHI MAGNESITA INDIA LIMITED,1141230.1307889998
412.0,ENGINERSIN,Engineers India Limited,1135044.5722735
413.0,MAHSEAMLES,Maharashtra Seamless Limited,1133834.670798
414.0,HAPPSTMNDS,Happiest Minds Technologies Limited,1133533.693084
415.0,JKTYRE,JK Tyre & Industries Limited,1126456.4390945
416.0,TEJASNET,Tejas Networks Limited,1120377.869412
417.0,PNCINFRA,PNC Infratech Limited,1119408.6464775
418.0,NEWGEN,Newgen Software Technologies Limited,1114383.753504
419.0,INOXINDIA,INOX India Limited,1109719.93275
420.0,TANLA,Tanla Platforms Limited,1102167.47242
421.0,BIRLACORPN,Birla Corporation Limited,1096325.125239
422.0,BBTC,Bombay Burmah Trading Corporation Limited,1093848.96225
423.0,GMDCLTD,Gujarat Mineral Development Corporation Limited,1093761
424.0,NUVOCO,Nuvoco Vistas Corporation Limited,1093612.140486
425.0,AKZOINDIA,Akzo Nobel India Limited,1085999.867958
426.0,CEATLTD,CEAT Limited,1085033.267808
427.0,RPOWER,Reliance Power Limited,1076659.187895
428.0,RELINFRA,Reliance Infrastructure Limited,1073317.4701430001
429.0,GPIL,Godawari Power And Ispat limited,1067376.3941239999
430.0,ELECON,Elecon Engineering Company Limited,1064497.1679375
431.0,ANANTRAJ,Anant Raj Limited,1061666.841651
432.0,ELECTCAST,Electrosteel Castings Limited,1059586.550154
433.0,DBREALTY,D B Realty Limited,1055949.443703
434.0,EQUITASBNK,Equitas Small Finance Bank Limited,1050338.1767145
435.0,KFINTECH,Kfin Technologies Limited,1048565.576394
436.0,BAJAJELEC,Bajaj Electricals Limited,1045577.2019669999
437.0,LATENTVIEW,Latent View Analytics Limited,1045477.3112025
438.0,JPPOWER,Jaiprakash Power Ventures Limited,1045152.4711175
439.0,GRANULES,Granules India Limited,1042549.031874
440.0,AAVAS,Aavas Financiers Limited,1041201.5288325
441.0,AETHER,Aether Industries Limited,1035217.63213
442.0,UTIAMC,UTI Asset Management Company Limited,1034577.5403
443.0,LEMONTREE,Lemon Tree Hotels Limited,1034277.7587519999
444.0,JKLAKSHMI,JK Lakshmi Cement Limited,1030436.767962
445.0,GPPL,Gujarat Pipavav Port Limited,1027551.528705
446.0,SFL,Sheela Foam Limited,1025776.8070169999
447.0,PCBL,PCBL LIMITED,1010467.3909080001
